First move,Second move,Winner
0,4,Human
0,4,Draw
0,4,Human
0,2,Human
0,4,Human
4,0,Human
0,4,Human
4,0,Human
1,4,Human
4,0,Human
1,4,Human
1,4,Human
1,4,Human
1,4,Human
4,0,Draw
0,4,Draw
0,4,Human
0,2,Human
1,4,Human
1,4,Human
1,4,Human
0,4,Human
4,1,MENACE
4,0,Human
4,1,Human
0,5,Human
4,0,Draw
4,0,Human
4,0,Draw
0,4,Human
4,0,Human
4,0,Human
4,1,Human
4,1,MENACE
4,0,Human
4,1,Draw
4,1,Draw
4,0,Draw
4,0,Draw
4,0,Draw
4,0,Draw
4,0,Human
0,8,Draw
4,0,Draw
4,0,Draw
0,2,Draw
4,0,Human
4,0,Human
4,0,Draw
0,4,Human
4,0,Human
4,0,Draw
4,0,Human
1,6,Human
4,0,Draw
4,0,Human
4,0,Human
4,1,Draw
4,0,MENACE
4,0,Draw
0,2,MENACE
0,2,MENACE
4,0,Draw
0,1,Human
4,0,Draw
0,5,Human
0,8,Draw
4,1,Draw
4,0,Draw
4,1,Human
0,4,Human
4,0,Draw
0,1,Draw
4,0,Human
4,1,Draw
4,1,Draw
4,1,Human
4,0,MENACE
4,0,Draw
4,0,Human
0,8,Human
4,0,Human
4,1,Human
4,1,MENACE
4,0,Draw
4,0,Draw
4,0,Draw
4,1,Draw
4,0,Draw
4,1,Human
4,0,Draw
4,0,MENACE
4,0,Draw
4,1,Draw
0,4,Human
0,4,Human
4,0,Human
4,1,Draw
4,1,MENACE
4,0,Draw
4,1,Draw
4,0,Draw
4,1,Draw
4,0,Draw
4,0,Draw
0,4,Human
4,1,Draw
4,0,Draw
4,0,Draw
4,0,Draw
4,0,MENACE
4,0,Draw
4,1,Draw
4,0,Human
4,1,Draw
4,0,Draw
4,0,Draw
4,1,Human
4,0,Human
0,2,MENACE
4,1,Human
4,0,MENACE
4,0,MENACE
4,1,Draw
4,1,MENACE
4,0,Draw
4,0,Draw
4,0,MENACE
4,0,Draw
4,0,Draw
4,0,Draw
4,0,Draw
4,1,Draw
4,1,Draw
4,0,Draw
4,0,Draw
0,4,Human
4,0,Draw
4,0,MENACE
4,1,MENACE
4,0,Draw
4,1,MENACE
0,5,MENACE
4,1,Human
0,4,Human
0,4,Human
4,0,Draw
4,0,Draw
4,0,Draw
4,0,MENACE
4,0,Draw
4,1,MENACE
4,1,Draw
