First move,Second move,Winner
0,4,Human
1,6,Human
1,4,Human
0,4,Human
1,0,Human
4,0,Human
1,3,Human
0,1,Human
1,6,Human
0,8,Human
1,4,Human
0,4,Human
0,4,Human
1,4,Human
1,4,Human
0,5,Human
0,1,Draw
0,4,Human
0,4,Human
1,0,Human
1,3,MENACE
0,1,MENACE
0,4,Human
0,2,Human
1,4,Human
1,4,Human
1,4,Human
0,4,Human
0,4,Human
0,4,Human
1,4,Human
1,4,Human
4,0,Human
1,0,Human
1,6,Human
1,4,Human
0,4,Human
4,1,Human
0,5,Human
0,4,Human
1,4,Human
0,4,Human
0,1,Draw
0,2,Draw
4,0,MENACE
1,4,Draw
4,0,Human
4,0,Human
4,0,Human
1,4,MENACE
1,4,Human
1,4,Human
4,0,Human
0,4,Human
1,4,Human
0,4,Draw
0,1,Draw
0,4,Human
0,4,Human
0,4,Draw
0,4,Human
0,4,Draw
0,4,MENACE
0,2,Human
0,4,Human
0,4,Human
0,2,Draw
0,1,Human
0,4,Human
0,2,Human
0,2,Human
1,4,Human
0,4,Human
0,4,Human
0,4,Draw
0,1,Draw
0,1,MENACE
0,1,Human
0,4,Human
0,5,Human
0,4,Draw
0,4,Draw
0,4,Human
0,4,Draw
0,1,Draw
0,4,Draw
0,1,MENACE
0,5,Human
0,4,MENACE
0,2,MENACE
0,8,Human
0,1,Draw
0,4,Draw
0,4,Draw
0,4,Human
0,4,Draw
0,4,MENACE
0,4,Draw
0,4,Draw
0,4,Draw
0,5,Human
0,4,Draw
0,1,Draw
0,8,Draw
0,1,Draw
0,4,Human
0,4,Draw
0,1,MENACE
0,1,Draw
0,4,Draw
0,2,Draw
0,1,MENACE
0,1,MENACE
0,1,Human
0,8,Draw
0,4,Draw
0,1,Draw
0,1,Draw
0,5,Human
0,8,MENACE
0,4,Draw
0,8,Draw
0,2,Human
0,8,Draw
0,4,Draw
0,8,MENACE
0,8,Human
0,5,Human
0,4,Draw
0,4,Draw
0,4,Draw
0,8,Draw
0,8,MENACE
0,1,Draw
0,4,Draw
0,2,Draw
0,2,Draw
0,1,MENACE
0,1,Human
0,4,Draw
